date_id,year,month,day
1,2024,1,1
2,2024,1,2
3,2024,1,3
4,2024,1,4
5,2024,1,5
6,2024,1,6
7,2024,1,7
8,2024,1,8
9,2024,1,9
10,2024,1,10
11,2024,1,11
12,2024,1,12
13,2024,1,13
14,2024,1,14
15,2024,1,15
16,2024,1,16
17,2024,1,17
18,2024,1,18
19,2024,1,19
20,2024,1,20
21,2024,1,21
22,2024,1,22
23,2024,1,23
24,2024,1,24
25,2024,1,25
26,2024,1,26
27,2024,1,27
28,2024,1,28
29,2024,1,29
30,2024,1,30
31,2024,1,31
32,2024,2,1
33,2024,2,2
34,2024,2,3
35,2024,2,4
36,2024,2,5
37,2024,2,6
38,2024,2,7
39,2024,2,8
40,2024,2,9
41,2024,2,10
42,2024,2,11
43,2024,2,12
44,2024,2,13
45,2024,2,14
46,2024,2,15
47,2024,2,16
48,2024,2,17
49,2024,2,18
50,2024,2,19
51,2024,2,20
52,2024,2,21
53,2024,2,22
54,2024,2,23
55,2024,2,24
56,2024,2,25
57,2024,2,26
58,2024,2,27
59,2024,2,28
60,2024,2,29
61,2024,3,1
62,2024,3,2
63,2024,3,3
64,2024,3,4
65,2024,3,5
66,2024,3,6
67,2024,3,7
68,2024,3,8
69,2024,3,9
70,2024,3,10
71,2024,3,11
72,2024,3,12
73,2024,3,13
74,2024,3,14
75,2024,3,15
76,2024,3,16
77,2024,3,17
78,2024,3,18
79,2024,3,19
80,2024,3,20
81,2024,3,21
82,2024,3,22
83,2024,3,23
84,2024,3,24
85,2024,3,25
86,2024,3,26
87,2024,3,27
88,2024,3,28
89,2024,3,29
90,2024,3,30
91,2024,3,31
92,2024,4,1
93,2024,4,2
94,2024,4,3
95,2024,4,4
96,2024,4,5
97,2024,4,6
98,2024,4,7
99,2024,4,8
100,2024,4,9
101,2024,4,10
102,2024,4,11
103,2024,4,12
104,2024,4,13
105,2024,4,14
106,2024,4,15
107,2024,4,16
108,2024,4,17
109,2024,4,18
110,2024,4,19
111,2024,4,20
112,2024,4,21
113,2024,4,22
114,2024,4,23
115,2024,4,24
116,2024,4,25
117,2024,4,26
118,2024,4,27
119,2024,4,28
120,2024,4,29
121,2024,4,30
122,2024,5,1
123,2024,5,2
124,2024,5,3
125,2024,5,4
126,2024,5,5
127,2024,5,6
128,2024,5,7
129,2024,5,8
130,2024,5,9
131,2024,5,10
132,2024,5,11
133,2024,5,12
134,2024,5,13
135,2024,5,14
136,2024,5,15
137,2024,5,16
138,2024,5,17
139,2024,5,18
140,2024,5,19
141,2024,5,20
142,2024,5,21
143,2024,5,22
144,2024,5,23
145,2024,5,24
146,2024,5,25
147,2024,5,26
148,2024,5,27
149,2024,5,28
150,2024,5,29
151,2024,5,30
152,2024,5,31
153,2024,6,1
154,2024,6,2
155,2024,6,3
156,2024,6,4
157,2024,6,5
158,2024,6,6
159,2024,6,7
160,2024,6,8
161,2024,6,9
162,2024,6,10
163,2024,6,11
164,2024,6,12
165,2024,6,13
166,2024,6,14
167,2024,6,15
168,2024,6,16
169,2024,6,17
170,2024,6,18
171,2024,6,19
172,2024,6,20
173,2024,6,21
174,2024,6,22
175,2024,6,23
176,2024,6,24
177,2024,6,25
178,2024,6,26
179,2024,6,27
180,2024,6,28
181,2024,6,29
182,2024,6,30
183,2024,7,1
184,2024,7,2
185,2024,7,3
186,2024,7,4
187,2024,7,5
188,2024,7,6
189,2024,7,7
190,2024,7,8
191,2024,7,9
192,2024,7,10
193,2024,7,11
194,2024,7,12
195,2024,7,13
196,2024,7,14
197,2024,7,15
198,2024,7,16
199,2024,7,17
200,2024,7,18
201,2024,7,19
202,2024,7,20
203,2024,7,21
204,2024,7,22
205,2024,7,23
206,2024,7,24
207,2024,7,25
208,2024,7,26
209,2024,7,27
210,2024,7,28
211,2024,7,29
212,2024,7,30
213,2024,7,31
214,2024,8,1
215,2024,8,2
216,2024,8,3
217,2024,8,4
218,2024,8,5
219,2024,8,6
220,2024,8,7
221,2024,8,8
222,2024,8,9
223,2024,8,10
224,2024,8,11
225,2024,8,12
226,2024,8,13
227,2024,8,14
228,2024,8,15
229,2024,8,16
230,2024,8,17
231,2024,8,18
232,2024,8,19
233,2024,8,20
234,2024,8,21
235,2024,8,22
236,2024,8,23
237,2024,8,24
238,2024,8,25
239,2024,8,26
240,2024,8,27
241,2024,8,28
242,2024,8,29
243,2024,8,30
244,2024,8,31
245,2024,9,1
246,2024,9,2
247,2024,9,3
248,2024,9,4
249,2024,9,5
250,2024,9,6
251,2024,9,7
252,2024,9,8
253,2024,9,9
254,2024,9,10
255,2024,9,11
256,2024,9,12
257,2024,9,13
258,2024,9,14
259,2024,9,15
260,2024,9,16
261,2024,9,17
262,2024,9,18
263,2024,9,19
264,2024,9,20
265,2024,9,21
266,2024,9,22
267,2024,9,23
268,2024,9,24
269,2024,9,25
270,2024,9,26
271,2024,9,27
272,2024,9,28
273,2024,9,29
274,2024,9,30
275,2024,10,1
276,2024,10,2
